English	Field	Amharic 
abaxial	Bt	ቅጠል ጀርባ
abdomen	Me	ሆድ
abdomen	Zo	ህልፅ (ግእዝ)
abdominal	Me	ሆድ ነክ
abdominal cavity	Zo	ዋና ህልፅ
abduction	Me	መዘራጋት
abductor muscle	Zo	አርቂ ጡንቻ
aberrant	Me	ከተቴ
aberration	Py	ብዥታ
abiotic factor	Bt	ኢህይወታዊ ደንቢ
ablation	Gg	ውግደት (ለቅልጠ በረዶ ክምችት)
ablation	Gl	ቅልጠተ በረዶ ምችት
ablation	Py	ጭርጨራ
abnormal	Ag	ልካለፍ
abnormal	Me	ደንብ ወጥ
abomasum	Ag	ያመዣኮች ክፍሎች
abomasum	Zo	ቆሽት
aborigines	Gg	አገሬዎች
abort	Me	ማሶረድ
abortion	Ag	ጨንገፋ
abortion	Nu	ማስወረድ
abortion	Ag	ጨንጋፊ
abrasion	Gg	ሽርሽራ (ፍግፈጋ)
abrasion	Gl	መፈግፈገ ድንጋይ
abrasion	Me	ፍግፍግ
abrasive	Bc	ሙርጃለስላሽ
abrasive	Gg	ሽርሽር
abridged life table	St	ጥልቅ የእድሜ ሰንጠረዥ
abscess	Me	ምርቅዝ
abscissa	Py	ማግ
abscission	Ag	ርግፈ ተክል
abscission	Bt	ቅንጥስታ
abscission layer	Bt	መቀንጠሻ
absolute	Ch	ፍፁም
absolute convergence	Ma	ፍፁም ድርስ
absolute deviation about the mean	St	ፍፁማዊ ልዩነት
absolute deviation about the mean	St	ከአማካይ ፍፁማዊ ልዩነት
absolute error	Ch	ፍፁም ግድፈት
absolute extremum (point)	Ma	ፍፁም ልቆሽ (ነጥብ)
absolute humidity	Gg	ፍፁም ውሃዝለት
absolutely covergent series	Ma	ፍፁማዊ ደራሽ ልጥጥቅ
absolute maximum	Ma	ፍፁ መልእል
absolute minimum	Ma	ፍፁም መንእስ
absolute rest	Py	ፍፁም እርፋታ
absolute value	Ma	ንጥረ እሴት
absolute zero	Ch	ፍፁም ዜሮ
absolute zero	Py	ፍፁም ዜሮ
absorb (to)	Ch	መምጠጥ
absorb	Me	መምጠጥ
absorbability	Ch	ተመጣጭነት
absorbable	Ch	ተመጣጭ
absorbate	Ch	ምጥ
absorbent	Ch	መጣጭ
absorber	Py	መጣጭ
absorbing well	Bc	ውሃውግድ ጉድጓድ
absorptance	Py	ምጦሽ
absorpation	Bt	ምጠት
absorption	Ch	ምጠት
absorption	Gg	ምት
absorption	Nu	ስርገት (ምጠት)
absorption	Py	ምጠት
absorption (soil)	Ag	ስርበት (አፈር)
absorption spectrum	Ch	ምጠታዊ ስፔክትረም
absorption specturm	Py	የምጠት ስፔክትረም
absorptivity	Py	መጣጭነት
abstract (n)	Ma	ረቂቅ
abstract (v)	Ma	ማርቀቅ
abstract  algebra	Ma	ረቂቅ አልጀብራ
abstract geometry	Ma	ረቂቅ ጆሜትሪ
abstracting	Ma	እርቀቃ
abstruaction	Gl	እርቀቃ
abstraction	Ma	እርቅቆሽ
abundant species	Bt	ትርፍርፍ ብቸኛ ዝርያ
abutment	Bc	ግፊታዘል ግንብ
abyssal plain	Gg	መቅሰታቶ (መጠቅለቃ)
abyssal plane	Gl	ውቅያኖሳዊ ጠለል
abyssal rock	Gl	ጥልቅ ውቅያኖሳዊ ድንጋይ
acacia	Bt	ዘረግራር
accelerate	Py	ማሸምጠጥ (ማጥደፍ)
accelerating electrode	Em	ፍጥነት ጨማሪ ኤሌክትሮድ
acceleration	Py	ሽምጠጣ (ጥድፈት)
accelerator	Bc	ድርጊታፋጣኝ
accelerator	Py	አሸምጣጭ (አጥዳፊ)
accelerometer	Py	አክሲለሮሜትር (ሽምጠጣ ሜትር)
acceptable quality level	St	ቅብል የጥራት ጠለል
acceptance region	St	ቅብል ክልል
acceptance sampling	St	ቅብል ንሞና
acceptance sampling plan	St	ቅብልንሞና እቅድ
acceptor (atom)	Em	ወሳጅ (አቶም)
acceptor	Py	ተቀባይ
access	Em	ተዳርሶ
accessory	Ch	ተቀጥላ
accessory mineral	Gl	ንዑስ ሚኔራል (በጥቂቱ ሲገኝ)
acclimatization	Bt	መጣወር
accomodation	Py	እስትንግደት
accomodation	Zo	አዝግቦት
accomodation of the eye	Py	የአይን አስትንግደት
accordion	Bc	እጥፍ- ዘርጌ
accounting	St	ሂሳብ አያያዝ
accretion	Gl	ተያይዞ ፀድገት
accretion theory	Gl	ተያይዞ ፀድገት ቲዎሪ
accumulation (cluster; limit)  point	Ma	መከማቻ ነጥብ (መድረሻ ነጥብ)
accumulator	Ch	መከካበቻ
accumulator	Em	አጠራቃሚ (ማካበቻ)
accumulator	Py	አከማች (ማከማቻ) እኩመሌተር
accuracy	Ch	ልክነት
accuracy	St	ልክነት
accurate	Ch	ልክ
acetabulum	Me	ዳሌ ማሻ
acetabulum	Zo	ሻጎራ እመጭን
acetolysis	Ch	እሴታዊ ውህደት
acetone	Me	አሴቶን
acetylation	Ch	አሴቲልነት
acetylene	Ch	አዴቲሊን
achene	Ag	ዘረራንዴ (ዘረንዶ)
Achilles tendon	Me	አከኪለስ ጅማት
Achilles tendon	Zo	አኪለስ ጅማት
achne	Me	ብጉር
achromatic	Py	ቀለም አልባ
acicular	Gl	መርፌ መሰል
acid	Ch	አሲድ
acid	Me	አሲድ
acid anhydride	Ch	ወውሃቢስ አሲድ
acid-base balance	Nu	አሲድ ቤዝ መመጣጠን
acidic	Me	አሲዳዊ
acidic rock	Gl	አዛሂታተ ድንጋይ
acidic salt	Ch	አሲዳማ ጨው
acidity	Ch	ኣሲድነት
acidolysis	Ch	አሲዳዊ ውህደት
acidosis	Me	ደም አሲዳዊነት
acid rain	Ch	አሲድ ዝናብ
acid resistant	Ch	አሲድ ሞጋጅ
acid salt	Ch	አሲድ ጨው
acid soil	Ag	አሲድ አፈር
acid value	Ch	አሲድ አእሴት
acini	Me	ሽክና
acoustics	Py	አኮስቲካ (ስነ ድምፀት)
acquiclude	Gl	ውሃ ገች
acquired	Me	ግኝት
acquired characteristics	Zo	ግኝት ባህርይ
acquired characters	Ag	ግብዬ ባህርያት
acquired immunity	Zo	ግኝት መድህን
acreage	Gg	መዛሮ
acrominon	Me	ዛቢያ
actinometer	Py	አክቲኖሜትር
actinomorphic	Bt	ብዙቅርፅ (ቅርፀ ብዙ)
actinomycetes	Bt	አክቲኖማይሴት
action	Ch	ተግባር
action	Py	ግብር
activate	Ch	ማግበር
activate	Py	መቀስቀስ (ማግበር)
activating group	Ch	አግባራዊ አካል
activation (process)	Ch	ግባሬ
activation	Py	ቀቅስቀሳ (ግባሬ)
activation analysis	Py	ገባሬያዊ ትንተና
activation energy	Py	ቀስቃሽ ጉልበት
